FFD Points: X, Y, Z
0, 0, 0
-0.0249292631983, -0.227841684222, 0
0, 0, 1
0.0260350950062, -0.21091055274, 0.069793254137
0, 0, 2
0.60769329071, -0.0958418861032, 0.837243378162
0, 0, 3
1.36507806778, -0.000132253021, 1.83181250095
0, 0, 4
2.72256813049, 0.257079041004, 3.73709082603
0, 1, 0
-0.0249292631983, -0.0703126080334, 0
0, 1, 1
0.0260350950062, -0.0618921406567, 0.069793254137
0, 1, 2
0.60769329071, -0.00435571186245, 0.837243378162
0, 1, 3
1.36507806778, 0.0706287119538, 1.83181250095
0, 1, 4
2.72256813049, 0.314420118928, 3.73709082603
0, 2, 0
-0.0249292631983, 0.0872164681554, 0
0, 2, 1
0.0260350950062, 0.0871262714267, 0.069793254137
0, 2, 2
0.60769329071, 0.0871304623783, 0.837243378162
0, 2, 3
1.36507806778, 0.141389676929, 1.83181250095
0, 2, 4
2.72256813049, 0.371761196852, 3.73709082603
1, 0, 0
0.168296438673, -0.227841684222, 0
1, 0, 1
0.214698140489, -0.21091055274, 0.069793254137
1, 0, 2
0.746457412508, -0.0958418861032, 0.837243378162
1, 0, 3
1.46920102967, -0.000132253021, 1.83181250095
1, 0, 4
2.78387535413, 0.257079041004, 3.73709082603
1, 1, 0
0.168296438673, -0.0703126080334, 0
1, 1, 1
0.214698140489, -0.0618921406567, 0.069793254137
1, 1, 2
0.746457412508, -0.00435571186245, 0.837243378162
1, 1, 3
1.46920102967, 0.0706287119538, 1.83181250095
1, 1, 4
2.78387535413, 0.314420118928, 3.73709082603
1, 2, 0
0.168296438673, 0.0872164681554, 0
1, 2, 1
0.214698140489, 0.0871262714267, 0.069793254137
1, 2, 2
0.746457412508, 0.0871304623783, 0.837243378162
1, 2, 3
1.46920102967, 0.141389676929, 1.83181250095
1, 2, 4
2.78387535413, 0.371761196852, 3.73709082603
2, 0, 0
0.361522140544, -0.227841684222, 0
2, 0, 1
0.403361185971, -0.21091055274, 0.069793254137
2, 0, 2
0.885221534305, -0.0958418861032, 0.837243378162
2, 0, 3
1.57332399156, -0.000132253021, 1.83181250095
2, 0, 4
2.84518257777, 0.257079041004, 3.73709082603
2, 1, 0
0.361522140544, -0.0703126080334, 0
2, 1, 1
0.403361185971, -0.0618921406567, 0.069793254137
2, 1, 2
0.885221534305, -0.00435571186245, 0.837243378162
2, 1, 3
1.57332399156, 0.0706287119538, 1.83181250095
2, 1, 4
2.84518257777, 0.314420118928, 3.73709082603
2, 2, 0
0.361522140544, 0.0872164681554, 0
2, 2, 1
0.403361185971, 0.0871262714267, 0.069793254137
2, 2, 2
0.885221534305, 0.0871304623783, 0.837243378162
2, 2, 3
1.57332399156, 0.141389676929, 1.83181250095
2, 2, 4
2.84518257777, 0.371761196852, 3.73709082603
3, 0, 0
0.554747842415, -0.227841684222, 0
3, 0, 1
0.592024231454, -0.21091055274, 0.069793254137
3, 0, 2
1.0239856561, -0.0958418861032, 0.837243378162
3, 0, 3
1.67744695346, -0.000132253021, 1.83181250095
3, 0, 4
2.90648980141, 0.257079041004, 3.73709082603
3, 1, 0
0.554747842415, -0.0703126080334, 0
3, 1, 1
0.592024231454, -0.0618921406567, 0.069793254137
3, 1, 2
1.0239856561, -0.00435571186245, 0.837243378162
3, 1, 3
1.67744695346, 0.0706287119538, 1.83181250095
3, 1, 4
2.90648980141, 0.314420118928, 3.73709082603
3, 2, 0
0.554747842415, 0.0872164681554, 0
3, 2, 1
0.592024231454, 0.0871262714267, 0.069793254137
3, 2, 2
1.0239856561, 0.0871304623783, 0.837243378162
3, 2, 3
1.67744695346, 0.141389676929, 1.83181250095
3, 2, 4
2.90648980141, 0.371761196852, 3.73709082603
4, 0, 0
0.747973544286, -0.227841684222, 0
4, 0, 1
0.780687276936, -0.21091055274, 0.069793254137
4, 0, 2
1.1627497779, -0.0958418861032, 0.837243378162
4, 0, 3
1.78156991535, -0.000132253021, 1.83181250095
4, 0, 4
2.96779702504, 0.257079041004, 3.73709082603
4, 1, 0
0.747973544286, -0.0703126080334, 0
4, 1, 1
0.780687276936, -0.0618921406567, 0.069793254137
4, 1, 2
1.1627497779, -0.00435571186245, 0.837243378162
4, 1, 3
1.78156991535, 0.0706287119538, 1.83181250095
4, 1, 4
2.96779702504, 0.314420118928, 3.73709082603
4, 2, 0
0.747973544286, 0.0872164681554, 0
4, 2, 1
0.780687276936, 0.0871262714267, 0.069793254137
4, 2, 2
1.1627497779, 0.0871304623783, 0.837243378162
4, 2, 3
1.78156991535, 0.141389676929, 1.83181250095
4, 2, 4
2.96779702504, 0.371761196852, 3.73709082603
5, 0, 0
0.941199246158, -0.227841684222, 0
5, 0, 1
0.969350322419, -0.21091055274, 0.069793254137
5, 0, 2
1.3015138997, -0.0958418861032, 0.837243378162
5, 0, 3
1.88569287724, -0.000132253021, 1.83181250095
5, 0, 4
3.02910424868, 0.257079041004, 3.73709082603
5, 1, 0
0.941199246158, -0.0703126080334, 0
5, 1, 1
0.969350322419, -0.0618921406567, 0.069793254137
5, 1, 2
1.3015138997, -0.00435571186245, 0.837243378162
5, 1, 3
1.88569287724, 0.0706287119538, 1.83181250095
5, 1, 4
3.02910424868, 0.314420118928, 3.73709082603
5, 2, 0
0.941199246158, 0.0872164681554, 0
5, 2, 1
0.969350322419, 0.0871262714267, 0.069793254137
5, 2, 2
1.3015138997, 0.0871304623783, 0.837243378162
5, 2, 3
1.88569287724, 0.141389676929, 1.83181250095
5, 2, 4
3.02910424868, 0.371761196852, 3.73709082603
6, 0, 0
1.13442494803, -0.227841684222, 0
6, 0, 1
1.1580133679, -0.21091055274, 0.069793254137
6, 0, 2
1.44027802149, -0.0958418861032, 0.837243378162
6, 0, 3
1.98981583913, -0.000132253021, 1.83181250095
6, 0, 4
3.09041147232, 0.257079041004, 3.73709082603
6, 1, 0
1.13442494803, -0.0703126080334, 0
6, 1, 1
1.1580133679, -0.0618921406567, 0.069793254137
6, 1, 2
1.44027802149, -0.00435571186245, 0.837243378162
6, 1, 3
1.98981583913, 0.0706287119538, 1.83181250095
6, 1, 4
3.09041147232, 0.314420118928, 3.73709082603
6, 2, 0
1.13442494803, 0.0872164681554, 0
6, 2, 1
1.1580133679, 0.0871262714267, 0.069793254137
6, 2, 2
1.44027802149, 0.0871304623783, 0.837243378162
6, 2, 3
1.98981583913, 0.141389676929, 1.83181250095
6, 2, 4
3.09041147232, 0.371761196852, 3.73709082603
7, 0, 0
1.3276506499, -0.227841684222, 0
7, 0, 1
1.34667641338, -0.21091055274, 0.069793254137
7, 0, 2
1.57904214329, -0.0958418861032, 0.837243378162
7, 0, 3
2.09393880102, -0.000132253021, 1.83181250095
7, 0, 4
3.15171869596, 0.257079041004, 3.73709082603
7, 1, 0
